City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Ambilobe,MG,-13.2,49.05,89.64,32,13,7.52,few clouds
226,Olafsvik,IS,64.89,-23.71,49.3,73,14,2.35,few clouds
227,Hay River,CA,60.82,-115.8,53.6,81,75,4.7,broken clouds
228,Ballina,AU,-28.87,153.57,66.2,39,0,9.17,clear sky
229,Edd,ER,13.93,41.69,95.77,45,91,2.26,overcast clouds
230,Dzhebariki-Khaya,RU,62.22,135.8,52.27,62,100,8.93,overcast clouds
231,Joshimath,IN,30.57,79.57,76.71,53,66,6.93,light rain
232,Nhulunbuy,AU,-12.23,136.77,80.6,51,2,19.46,clear sky
233,Sohag,EG,26.56,31.69,82.4,37,0,8.05,clear sky
234,Pisco,PE,-13.7,-76.22,61.0,87,90,10.29,overcast clouds
235,Mildura,AU,-34.2,142.15,55.4,43,75,6.93,broken clouds
236,Xining,CN,36.62,101.77,75.06,30,33,5.3,scattered clouds
237,Port-Gentil,GA,-0.72,8.78,77.0,83,90,8.32,overcast clouds
238,Mahanje,TZ,-9.93,35.33,69.01,68,96,4.29,light rain
239,Victoria,HK,22.29,114.16,91.4,59,20,8.05,few clouds
240,Almaznyy,RU,48.04,40.05,73.4,33,0,4.47,clear sky
241,Springfield,US,37.22,-93.3,73.99,78,1,3.36,clear sky
242,Algeciras,ES,36.13,-5.45,69.8,100,90,4.7,fog
243,Boende,CD,-0.22,20.87,72.25,89,100,0.04,overcast clouds
244,Kaitangata,NZ,-46.28,169.85,51.01,84,100,1.99,overcast clouds
245,Dudinka,RU,69.41,86.18,62.6,72,75,20.13,broken clouds
246,Calabozo,VE,8.92,-67.43,72.37,96,100,1.59,light rain
247,Nioro,GM,13.35,-15.75,74.62,86,100,2.21,overcast clouds
248,Erenhot,CN,43.65,111.98,84.02,26,0,12.55,clear sky
249,Wajima,JP,37.4,136.9,78.8,88,75,1.12,broken clouds
250,Chuy,UY,-33.7,-53.46,54.21,93,0,11.34,clear sky
251,Santa Rosalia,MX,27.32,-112.28,88.93,43,0,5.73,clear sky
